# HXA7241
# 2009-11-20

# (physical books only)

# miscellaneous
# art
# philosophy
# science
# software
# graphics
# fiction

# title | author[, author] | publisher | year (latest) | isbn (including '-'s)

Designing Components With The C++ STL A New Approach To Programming | Ulrich Breymann | Addison Wesley | 1998 | 0-201-17816-8
Advanced C++ | James O Coplien | Addison Wesley | 1993 | 0-201-54855-0
Programs And Data Structures In C | Leendert Ammeraal | Wiley | 1992 | 0-471-93123-3
The Java Programming Language | Ken Arnold, James Gosling | Addison Wesley | 1999 | 0-201-31006-6
The Java Tutorial Continued | Mary Campione, Kathy Walrath, Alison Huml | Addison Wesley | 1998 | 0-201-48558-3
Effective Java | Joshua Bloch | Addison Wesley | 2001 | 0-201-31005-8
Practical Java | Peter Haggar | Addison Wesley | 2000 | 0-201-61646-7
The Elements Of Java Style | Allan Vermeulen, Scott W Ambler, Greg Bumgardner, Eldon Metz, Trevor Misfeldt, Jim Shur, Patrick Thompson | Cambridge | 2000 | 0-521-77768-2
Concurrent Programming In Java | Doug Lea | Addison Wesley | 2000 | 0-201-31009-0
JDBC API Tutorial And Reference | Seth White, Maydene Fisher, Rick Cattell, Graham Hamilton, Mark Hapner | Addison Wesley | 1999 | 0-201-43328-1
Enterprise Java Beans | Richard Monson-Haefel | O'Reilly | 2001 | 0-596-00226-2
Core J2EE Patterns | Deepak Alur, John Crupi, Dan Malks | Prentice Hall | 2001 | 0-13-064884-1
J2EE Technology In Practice | Rick Cattell, Jim Inscore | Addison Wesley | 2001 | 0-201-74622-0
HTML The Definitive Guide | Chuck Musciano, Bill Kennedy | O'Reilly | 1998 | 1-56592-492-4
HTML For The World Wide Web | Elizabeth Castro | Peachpit Press | 1998 | 0-201-69696-7
HTTP Pocket Reference | Clinton Wong | O'Reilly | 2000 | 1-56592-862-8
XML Pocket Reference | Robert Eckstein, Michael Casabianca | O'Reilly | 2001 | 0-569-00133-9
JavaScript The Definitive Guide | David Flanagan | O'Reilly | 2006 | 0-59610-199-6
.Net Framework Essentials | Thuan Thai, Hoang Q Lam | O'Reilly | 2002 | 0-569-00302-1
Windows 2000 Commands Pocket Reference | Aeleen Frisch | O'Reilly | 2001 | 0-569-00148-7
A Course In Basic Programming ZX80 Operating Manual | Hugo Davenport | Science Of Cambridge | 1980 |
